date,IBTS
2018-08-01,149.496
2018-09-01,150.011
2018-10-01,149.628
2018-11-01,149.928
2018-12-01,150.367
2019-01-01,151.556
2019-02-01,151.821
2019-03-01,151.971
2019-04-01,152.619
2019-05-01,152.992
2019-06-01,154.181
2019-07-01,154.846
2019-08-01,155.312
2019-09-01,156.059
2019-10-01,155.795
2019-11-01,156.043
2019-12-01,156.078
2020-01-01,156.949
2020-02-01,157.279
2020-03-01,158.657
2020-04-01,160.556
2020-05-01,160.604
2020-06-01,160.77
2020-07-01,160.794
2020-08-01,160.984
2020-09-01,160.96
2020-10-01,160.783
2020-11-01,160.724
2020-12-01,160.688
2021-01-01,160.616
2021-02-01,160.915
2021-03-01,160.831
2021-04-01,160.678
2021-05-01,160.75
2021-06-01,160.834
2021-07-01,160.57
2021-08-01,160.87
2021-09-01,160.846
2021-10-01,160.69
2021-11-01,160.03
2021-12-01,160.03
2022-01-01,159.549
2022-02-01,158.552
2022-03-01,158.276
2022-04-01,155.263
2022-05-01,154.914
2022-06-01,155.528
2022-07-01,155.299
2022-08-01,155.491
2022-09-01,154.12
2022-10-01,152.313
2022-11-01,151.986
2022-12-01,153.449
2023-01-01,153.364
2023-02-01,154.802
2023-03-01,153.05
2023-04-01,155.521
2023-05-01,155.936
2023-06-01,155.558
2023-07-01,154.569
2023-08-01,154.984
2023-09-01,155.668
2023-10-01,155.159
2023-11-01,156.001
2023-12-01,157.76
2024-01-01,159.085
