DATE,DGS5
2008-11-01,1.93
2008-12-01,1.55
2009-01-01,1.85
2009-02-01,1.99
2009-03-01,1.67
2009-04-01,2.02
2009-05-01,2.34
2009-06-01,2.54
2009-07-01,2.53
2009-08-01,2.39
2009-09-01,2.31
2009-10-01,2.31
2009-11-01,2.01
2009-12-01,2.69
2010-01-01,2.34
2010-02-01,2.30
2010-03-01,2.55
2010-04-01,2.43
2010-05-01,2.10
2010-06-01,1.79
2010-07-01,1.60
2010-08-01,1.33
2010-09-01,1.27
2010-10-01,1.17
2010-11-01,1.47
2010-12-01,2.01
2011-01-01,1.95
2011-02-01,2.13
2011-03-01,2.24
2011-04-01,1.97
2011-05-01,1.68
2011-06-01,1.76
2011-07-01,1.35
2011-08-01,0.96
2011-09-01,0.96
2011-10-01,0.99
2011-11-01,0.96
2011-12-01,0.83
2012-01-01,0.71
2012-02-01,0.87
2012-03-01,1.04
2012-04-01,0.82
2012-05-01,0.67
2012-06-01,0.72
2012-07-01,0.60
2012-08-01,0.59
2012-09-01,0.62
2012-10-01,0.72
2012-11-01,0.61
2012-12-01,0.72
2013-01-01,0.88
2013-02-01,0.77
2013-03-01,0.77
2013-04-01,0.68
2013-05-01,1.05
2013-06-01,1.41
2013-07-01,1.38
2013-08-01,1.62
2013-09-01,1.39
2013-10-01,1.31
2013-11-01,1.37
2013-12-01,1.75
2014-01-01,1.49
2014-02-01,1.51
2014-03-01,1.73
2014-04-01,1.69
2014-05-01,1.54
2014-06-01,1.62
2014-07-01,1.76
2014-08-01,1.63
2014-09-01,1.78
2014-10-01,1.62
2014-11-01,1.49
2014-12-01,1.65
2015-01-01,1.18
2015-02-01,1.50
2015-03-01,1.37
2015-04-01,1.43
2015-05-01,1.49
2015-06-01,1.63
2015-07-01,1.54
2015-08-01,1.54
2015-09-01,1.37
2015-10-01,1.52
2015-11-01,1.65
2015-12-01,1.76
2016-01-01,1.33
2016-02-01,1.22
2016-03-01,1.21
2016-04-01,1.28
2016-05-01,1.37
2016-06-01,1.01
2016-07-01,1.03
2016-08-01,1.19
2016-09-01,1.14
2016-10-01,1.31
2016-11-01,1.83
2016-12-01,1.93
2017-01-01,1.90
2017-02-01,1.89
2017-03-01,1.93
2017-04-01,1.81
2017-05-01,1.75
2017-06-01,1.89
2017-07-01,1.84
2017-08-01,1.70
2017-09-01,1.92
2017-10-01,2.01
2017-11-01,2.14
2017-12-01,2.20
2018-01-01,2.52
2018-02-01,2.65
2018-03-01,2.56
2018-04-01,2.79
2018-05-01,2.68
2018-06-01,2.73
2018-07-01,2.85
2018-08-01,2.74
2018-09-01,2.94
2018-10-01,2.98
2018-11-01,2.84
2018-12-01,2.51
2019-01-01,2.43
2019-02-01,2.52
2019-03-01,2.23
2019-04-01,2.28
2019-05-01,1.93
2019-06-01,1.76
2019-07-01,1.84
2019-08-01,1.39
2019-09-01,1.55
2019-10-01,1.51
2019-11-01,1.62
2019-12-01,1.69
2020-01-01,1.32
2020-02-01,0.89
2020-03-01,0.37
2020-04-01,0.36
2020-05-01,0.30
2020-06-01,0.29
2020-07-01,0.21
2020-08-01,0.28
2020-09-01,0.28
2020-10-01,0.38
2020-11-01,0.36
2020-12-01,0.36
2021-01-01,0.45
2021-02-01,0.75
2021-03-01,0.92
2021-04-01,0.86
2021-05-01,0.79
2021-06-01,0.87
2021-07-01,0.69
2021-08-01,0.77
2021-09-01,0.98
2021-10-01,1.18
2021-11-01,1.14
2021-12-01,1.26
2022-01-01,1.62
2022-02-01,1.71
2022-03-01,2.42
2022-04-01,2.92
2022-05-01,2.81
2022-06-01,3.01
2022-07-01,2.70
2022-08-01,3.30
2022-09-01,4.06
2022-10-01,4.27
2022-11-01,3.82
2022-12-01,3.99
2023-01-01,3.63
2023-02-01,4.18
2023-03-01,3.60
2023-04-01,3.51
2023-05-01,3.74
2023-06-01,4.13
2023-07-01,4.18
2023-08-01,4.23
2023-09-01,4.60
2023-10-01,4.82
2023-11-01,4.31
2023-12-01,3.84
2024-01-01,3.91
2024-02-01,4.26
2024-03-01,4.21
2024-04-01,.
