DATE,DGS5
1993-04-01,5.14
1993-05-01,5.37
1993-06-01,5.05
1993-07-01,5.16
1993-08-01,4.80
1993-09-01,4.79
1993-10-01,4.83
1993-11-01,5.15
1993-12-01,5.21
1994-01-01,5.02
1994-02-01,5.60
1994-03-01,6.23
1994-04-01,6.64
1994-05-01,6.77
1994-06-01,6.97
1994-07-01,6.73
1994-08-01,6.81
1994-09-01,7.28
1994-10-01,7.48
1994-11-01,7.79
1994-12-01,7.83
1995-01-01,7.54
1995-02-01,7.06
1995-03-01,7.08
1995-04-01,6.88
1995-05-01,6.08
1995-06-01,5.98
1995-07-01,6.16
1995-08-01,6.07
1995-09-01,6.01
1995-10-01,5.81
1995-11-01,5.53
1995-12-01,5.38
1996-01-01,5.25
1996-02-01,5.73
1996-03-01,6.10
1996-04-01,6.40
1996-05-01,6.64
1996-06-01,6.47
1996-07-01,6.57
1996-08-01,6.73
1996-09-01,6.46
1996-10-01,6.10
1996-11-01,5.84
1996-12-01,6.21
1997-01-01,6.26
1997-02-01,6.39
1997-03-01,6.77
1997-04-01,6.57
1997-05-01,6.51
1997-06-01,6.40
1997-07-01,5.90
1997-08-01,6.22
1997-09-01,6.00
1997-10-01,5.72
1997-11-01,5.83
1997-12-01,5.71
1998-01-01,5.39
1998-02-01,5.59
1998-03-01,5.64
1998-04-01,5.65
1998-05-01,5.56
1998-06-01,5.47
1998-07-01,5.52
1998-08-01,4.91
1998-09-01,4.23
1998-10-01,4.24
1998-11-01,4.51
1998-12-01,4.56
1999-01-01,4.55
1999-02-01,5.21
1999-03-01,5.12
1999-04-01,5.24
1999-05-01,5.60
1999-06-01,5.67
1999-07-01,5.82
1999-08-01,5.88
1999-09-01,5.78
1999-10-01,5.97
1999-11-01,6.11
1999-12-01,6.36
2000-01-01,6.71
2000-02-01,6.61
2000-03-01,6.32
2000-04-01,6.56
2000-05-01,6.54
2000-06-01,6.18
2000-07-01,6.16
2000-08-01,5.98
2000-09-01,5.85
2000-10-01,5.83
2000-11-01,5.42
2000-12-01,4.99
2001-01-01,4.85
2001-02-01,4.70
2001-03-01,4.62
2001-04-01,4.97
2001-05-01,4.94
2001-06-01,4.97
2001-07-01,4.57
2001-08-01,4.46
2001-09-01,3.93
2001-10-01,3.66
2001-11-01,4.08
2001-12-01,4.38
2002-01-01,4.42
2002-02-01,4.27
2002-03-01,4.91
2002-04-01,4.53
2002-05-01,4.37
2002-06-01,4.09
2002-07-01,3.53
2002-08-01,3.22
2002-09-01,2.63
2002-10-01,2.81
2002-11-01,3.28
2002-12-01,2.78
2003-01-01,3.02
2003-02-01,2.69
2003-03-01,2.78
2003-04-01,2.85
2003-05-01,2.30
2003-06-01,2.46
2003-07-01,3.38
2003-08-01,3.46
2003-09-01,2.85
2003-10-01,3.27
2003-11-01,3.38
2003-12-01,3.25
2004-01-01,3.17
2004-02-01,3.01
2004-03-01,2.80
2004-04-01,3.63
2004-05-01,3.81
2004-06-01,3.81
2004-07-01,3.71
2004-08-01,3.33
2004-09-01,3.38
2004-10-01,3.30
2004-11-01,3.72
2004-12-01,3.63
2005-01-01,3.71
2005-02-01,4.00
2005-03-01,4.18
2005-04-01,3.90
2005-05-01,3.76
2005-06-01,3.72
2005-07-01,4.12
2005-08-01,3.87
2005-09-01,4.18
2005-10-01,4.45
2005-11-01,4.42
2005-12-01,4.35
2006-01-01,4.47
2006-02-01,4.61
2006-03-01,4.82
2006-04-01,4.92
2006-05-01,5.04
2006-06-01,5.10
2006-07-01,4.91
2006-08-01,4.70
2006-09-01,4.59
2006-10-01,4.57
2006-11-01,4.45
2006-12-01,4.70
2007-01-01,4.82
2007-02-01,4.52
2007-03-01,4.54
2007-04-01,4.51
2007-05-01,4.86
2007-06-01,4.92
2007-07-01,4.60
2007-08-01,4.25
2007-09-01,4.23
2007-10-01,4.16
2007-11-01,3.41
2007-12-01,3.45
2008-01-01,2.82
2008-02-01,2.50
2008-03-01,2.46
2008-04-01,3.03
2008-05-01,3.41
2008-06-01,3.34
2008-07-01,3.25
2008-08-01,3.10
2008-09-01,2.98
2008-10-01,2.80
