DATE,IQ12260
2019-02-01,460.0
2019-03-01,451.8
2019-04-01,451.9
2019-05-01,448.3
2019-06-01,465.8
2019-07-01,489.4
2019-08-01,519.6
2019-09-01,536.2
2019-10-01,523.3
2019-11-01,521.1
2019-12-01,516.0
2020-01-01,536.4
2020-02-01,549.3
2020-03-01,575.2
2020-04-01,564.1
2020-05-01,596.5
2020-06-01,600.0
2020-07-01,621.8
2020-08-01,706.2
2020-09-01,684.0
2020-10-01,667.1
2020-11-01,671.2
2020-12-01,636.4
2021-01-01,673.2
2021-02-01,639.6
2021-03-01,601.9
2021-04-01,611.2
2021-05-01,633.7
2021-06-01,663.6
2021-07-01,634.3
2021-08-01,633.5
2021-09-01,635.7
2021-10-01,617.9
2021-11-01,627.8
2021-12-01,626.1
2022-01-01,633.6
2022-02-01,632.7
2022-03-01,676.1
2022-04-01,678.5
2022-05-01,658.0
2022-06-01,650.0
2022-07-01,616.0
2022-08-01,621.0
2022-09-01,599.3
2022-10-01,595.5
2022-11-01,577.9
2022-12-01,625.2
2023-01-01,647.1
2023-02-01,671.3
2023-03-01,642.4
2023-04-01,702.5
2023-05-01,704.2
2023-06-01,687.8
2023-07-01,672.6
2023-08-01,682.8
2023-09-01,674.3
2023-10-01,639.5
2023-11-01,696.9
2023-12-01,709.5
2024-01-01,718.0
2024-02-01,710.1
2024-03-01,748.9
