Date,WORLD ENHANCED VALUE
2021-06-01,1441.013
2021-07-01,1432.354
2021-08-01,1447.948
2021-09-01,1427.132
2021-10-01,1435.940
2021-11-01,1388.429
2021-12-01,1485.167
2022-01-01,1484.720
2022-02-01,1462.517
2022-03-01,1466.497
2022-04-01,1380.123
2022-05-01,1430.834
2022-06-01,1287.769
2022-07-01,1325.754
2022-08-01,1276.036
2022-09-01,1151.976
2022-10-01,1245.798
2022-11-01,1360.380
2022-12-01,1338.308
2023-01-01,1433.015
2023-02-01,1408.479
2023-03-01,1412.447
2023-04-01,1427.495
2023-05-01,1390.395
2023-06-01,1481.821
2023-07-01,1541.024
2023-08-01,1500.743
2023-09-01,1476.208
2023-10-01,1405.075
2023-11-01,1517.292
2023-12-01,1596.726
2024-01-01,1603.924
