Date,Backtest 70 min vol
11/1994,10000
12/1994,10257.989787896733
01/1995,9962.370846982669
02/1995,10043.701264529584
03/1995,10102.055235718308
04/1995,10203.892188301097
05/1995,10491.480066583752
06/1995,10572.449542068229
07/1995,10762.571892752621
08/1995,11017.73776626206
09/1995,11409.699622644217
10/1995,11232.048322150551
11/1995,11546.367237507013
12/1995,11929.376189777511
01/1996,12306.475911933523
02/1996,12384.386312348412
03/1996,12488.217287305833
04/1996,12759.892640846865
05/1996,13039.660083821804
06/1996,12999.899650353342
07/1996,12475.37338354687
08/1996,12591.85516484666
09/1996,12994.324167055835
10/1996,13129.402961483293
11/1996,13508.32162756915
12/1996,13722.20586501254
01/1997,14168.04307749101
02/1997,14761.642582364346
03/1997,14564.429902341624
04/1997,14904.028804597541
05/1997,15596.973798705201
06/1997,16300.006520477513
07/1997,17352.280618916768
08/1997,17083.68123705667
09/1997,17666.123830532077
10/1997,16786.087438177863
11/1997,16650.117904277515
12/1997,17319.138748050296
01/1998,17950.85158319
02/1998,18662.22391527886
03/1998,19517.44484758358
04/1998,19604.92033669325
05/1998,19147.986280377998
06/1998,19471.650028129017
07/1998,19448.274878223936
08/1998,17502.02477041199
09/1998,17275.79055200082
10/1998,17534.73428343486
11/1998,18579.38112507163
12/1998,19245.222369933697
01/1999,19956.2345603364
02/1999,19785.567508919987
03/1999,20458.39517929759
04/1999,21276.232609264334
05/1999,21145.7146883109
06/1999,21860.936428097917
07/1999,21181.362137958247
08/1999,21117.27589505206
09/1999,21226.072402817525
10/1999,22138.362047445764
11/1999,23349.32586879017
12/1999,24976.327133928797
01/2000,24476.741155619486
02/2000,25161.602349612414
03/2000,26313.779509027325
04/2000,26577.064332761664
05/2000,25325.226979267365
06/2000,25549.73698442077
07/2000,25846.22234839575
08/2000,27533.027971567983
09/2000,27025.128569871573
10/2000,27374.88395327936
11/2000,26287.26377705559
12/2000,25692.74773922594
01/2001,25591.945969534892
02/2001,25127.56174532008
03/2001,25146.703373675795
04/2001,25868.325445547103
05/2001,27172.231607149908
06/2001,27088.568500741214
07/2001,26313.974224191257
08/2001,25276.020472508026
09/2001,24085.61993728284
10/2001,24233.682005159717
11/2001,25107.690727774985
12/2001,25905.189732505703
01/2002,26156.946570493554
02/2002,26380.975148493413
03/2002,27109.005610019678
04/2002,26620.945328779988
05/2002,25949.77383530776
06/2002,23979.445161217114
07/2002,22896.44415618638
08/2002,23044.727336718042
09/2002,22105.690773712915
10/2002,22219.180691177753
11/2002,22468.482181605777
12/2002,21425.131572283495
01/2003,20702.872072612394
02/2003,20444.947338955095
03/2003,20268.624831070676
04/2003,21013.89590009195
05/2003,21110.998818140062
06/2003,21723.251809794598
07/2003,22043.95743393619
08/2003,23113.754046588143
09/2003,22262.461203197297
10/2003,23074.418462590078
11/2003,22934.76867537386
12/2003,22824.019509481444
01/2004,23359.975841826697
02/2004,23670.008405585053
03/2004,24511.026323427468
04/2004,24154.99812490703
05/2004,23968.992641078083
06/2004,24529.832869450554
07/2004,24141.169541074967
08/2004,24404.68664148211
