Date,Backtest 70 min vol
09/2004,24425.235727573534
10/2004,24355.471849750338
11/2004,24804.835094768277
12/2004,24830.32638784037
01/2005,25293.34949662254
02/2005,25816.21158971115
03/2005,25956.750623854066
04/2005,25621.740411640585
05/2005,27113.47964782369
06/2005,28283.91033550827
07/2005,28964.89943210743
08/2005,29011.838902159536
09/2005,30057.1586228677
10/2005,29286.166712209804
11/2005,30625.367250925396
12/2005,31348.283740645787
01/2006,32110.376286583523
02/2006,32394.82787153602
03/2006,32523.85558878544
04/2006,32426.76267219054
05/2006,30931.694162292613
06/2006,30973.747138143448
07/2006,31077.458402379183
08/2006,31307.610319379255
09/2006,31668.893848223786
10/2006,32613.128844122442
11/2006,32596.270432267782
12/2006,33094.67676843382
01/2007,34023.63145534381
02/2007,33593.32938947261
03/2007,33794.313127531444
04/2007,34122.19534301324
05/2007,34943.51774198971
06/2007,34258.28304794853
07/2007,33323.077466648116
08/2007,33466.76499670981
09/2007,34017.613476161045
10/2007,34480.48050460156
11/2007,33019.425040062284
12/2007,33138.10255596421
01/2008,31831.35707748952
02/2008,31403.81638786288
03/2008,30050.154586147986
04/2008,31041.97459240028
05/2008,31559.6641611487
06/2008,30082.16234544378
07/2008,29831.363666561134
08/2008,30974.575114464576
09/2008,29717.458787946445
10/2008,28241.647613483965
11/2008,27865.912960431095
12/2008,26825.683431756657
01/2009,26991.452155432118
02/2009,25370.511121439034
03/2009,25332.02356428634
04/2009,27063.21596318776
05/2009,27266.87889569481
06/2009,27151.635793321628
07/2009,28773.69051753167
08/2009,29411.3376030827
09/2009,29942.491777224513
10/2009,29061.087796073472
11/2009,29973.652757392047
12/2009,31332.572401113255
01/2010,31186.927751946794
02/2010,32650.49318596851
03/2010,34212.476216394534
04/2010,35220.17440444848
05/2010,35599.81316525081
06/2010,35035.96989516488
07/2010,34683.55116647652
08/2010,35021.8626075629
09/2010,35237.060166694384
10/2010,35776.2689919072
11/2010,37731.50543604417
12/2010,38411.399780636435
01/2011,37502.213149457755
02/2011,38349.31199640775
03/2011,37844.10406343486
04/2011,37845.274217785955
05/2011,38735.16635411999
06/2011,38169.791293214555
07/2011,38491.03917980644
08/2011,37555.43712259816
09/2011,37758.03214992371
10/2011,38655.630701719034
11/2011,39900.62851936397
12/2011,41256.457319001536
01/2012,41781.0389345162
02/2012,42142.33902325337
03/2012,42728.27498352026
04/2012,43239.85539084283
05/2012,43706.29295872786
06/2012,44507.47451790614
07/2012,45976.516020553834
08/2012,45571.594129758436
09/2012,45673.06731404396
10/2012,44922.502294440805
11/2012,45256.700151224635
12/2012,44579.55990015505
01/2013,45126.003892997716
02/2013,46729.17205780935
03/2013,49396.556223991545
04/2013,49171.53170438513
05/2013,48475.21799285736
06/2013,47509.344289780405
07/2013,48698.00383403455
08/2013,47904.25183982202
09/2013,48677.65745128154
10/2013,49568.974608162986
11/2013,50049.03744779652
12/2013,49836.08422046478
01/2014,49977.113591049325
02/2014,51071.040425432475
03/2014,50883.798755995624
04/2014,50697.066741779716
05/2014,52092.33839381191
06/2014,53100.10410052842
07/2014,53052.906947766576
08/2014,55094.23474899265
09/2014,55657.00761994491
10/2014,56683.446300560834
11/2014,57868.015740189156
12/2014,59241.347071352895
01/2015,63177.6659688924
02/2015,65124.70670968943
03/2015,67244.67019208727
04/2015,64989.807579115164
05/2015,66488.72373695475
06/2015,64265.04302342311
07/2015,65987.71545429823
08/2015,62480.37253879776
09/2015,61199.165326279304
10/2015,64992.98782941822
11/2015,66687.17712198258
12/2015,64680.61903429152
01/2016,63361.40432674263
02/2016,64768.51688190785
03/2016,65291.51844980657
04/2016,65975.27071723505
05/2016,67055.52810564249
06/2016,69489.04045812166
07/2016,70942.35132634827
08/2016,69592.77421597247
09/2016,69693.09082002069
10/2016,68616.73835733887
11/2016,70368.90052650406
12/2016,71793.282394703
01/2017,71896.51849200102
02/2017,74412.70997731153
03/2017,74123.51917123674
04/2017,73565.00359255352
05/2017,73184.32281755513
06/2017,72135.42697515269
07/2017,71769.27222822137
08/2017,71879.17970841023
09/2017,72807.93703224699
10/2017,74892.31785810694
11/2017,75160.84812934973
12/2017,74668.35102877275
01/2018,74869.07116932615
02/2018,74045.14440431105
03/2018,73127.23329161978
04/2018,74456.48233855217
05/2018,77495.78722448176
06/2018,77599.44749837896
07/2018,78347.19225391003
08/2018,80292.08776094679
09/2018,80743.31643402061
10/2018,77814.5820550534
11/2018,78767.43652541022
12/2018,74606.33614535199
01/2019,78340.36578737473
02/2019,80523.56541072419
03/2019,82363.22422299511
04/2019,83663.85813747474
05/2019,82115.9181153232
06/2019,84971.46885897004
07/2019,86965.70605160875
08/2019,88505.8822096147
09/2019,89676.26017484418
10/2019,88721.39616270135
11/2019,90516.1066853304
12/2019,90633.37150949352
01/2020,92860.19258476862
02/2020,88404.14843200379
03/2020,80319.83200770244
04/2020,86684.23515349394
05/2020,87649.46178050537
06/2020,88899.98305808542
07/2020,88982.2125285953
08/2020,91241.25030097499
09/2020,90550.66649239439
10/2020,89305.3410262369
11/2020,93237.93866535473
12/2020,94740.70734183249
01/2021,95872.63256881645
02/2021,95771.13053552715
03/2021,100928.705097401
04/2021,101731.99674036686
05/2021,102408.49970293674
06/2021,104593.71488023564
07/2021,105958.87025827735
08/2021,108121.85305097386
09/2021,106668.92328850171
10/2021,110060.75561984873
11/2021,110765.44388134577
12/2021,113915.90332676693
01/2022,110059.5967721988
02/2022,109288.28682341994
03/2022,112528.42730348944
04/2022,110772.97572972397
05/2022,108610.01469318959
06/2022,105707.11960881029
07/2022,111652.20688767631
08/2022,110266.74135965215
09/2022,105467.9166000183
10/2022,109760.5647667476
11/2022,110756.06470637451
12/2022,105529.94175253407
01/2023,107770.56580254156
02/2023,106285.91429742494
03/2023,105793.55373136871
04/2023,106079.3278978584
05/2023,105461.22153872039
06/2023,107250.62110916415
07/2023,108363.19400545182
08/2023,107974.70470219503
09/2023,106638.70262041329
10/2023,105113.47641427498
11/2023,108584.8965314372
12/2023,112524.3705728284
01/2024,115786.65036014492
02/2024,119190.30485209118
03/2024,123503.41466277711
04/2024,120467.49155286772
05/2024,122908.8959330504
06/2024,125373.47219789977
07/2024,128322.824219292
