Date,Backtest 60 min vol
05/2019,73010.29078269195
06/2019,75352.92051858852
07/2019,76963.86060415275
08/2019,78532.1754427317
09/2019,79287.49538347281
10/2019,78480.08048963812
11/2019,79756.9235990618
12/2019,79761.2560563511
01/2020,81782.31715587115
02/2020,78611.37655095114
03/2020,72600.28138824928
04/2020,77550.92222817882
05/2020,78243.49952528284
06/2020,79232.12024543787
07/2020,79470.07111284453
08/2020,81050.43627405909
09/2020,80589.67167988508
10/2020,79582.33981333219
11/2020,82388.08184367928
12/2020,83550.66522001129
01/2021,84263.50038710372
02/2021,83790.51930166723
03/2021,87762.30909683839
04/2021,88270.0451897854
05/2021,88763.38439792144
06/2021,90566.61325812628
07/2021,91850.96014244962
08/2021,93470.44110455128
09/2021,92281.86683455073
10/2021,94842.0039881593
11/2021,95725.26708652088
12/2021,97849.02890014961
01/2022,94879.68917076694
02/2022,94204.07601607841
03/2022,96361.30967908428
04/2022,95007.03575060729
05/2022,93107.9513648895
06/2022,90932.5826087211
07/2022,95746.46134073066
08/2022,94350.76567108491
09/2022,90526.1978516065
10/2022,93464.44083571449
11/2022,94277.7505716311
12/2022,90036.00576538872
01/2023,91814.26545278673
02/2023,90547.05362206558
03/2023,90499.40845810197
04/2023,90583.5427585528
05/2023,90292.50960414662
06/2023,91230.02800399184
07/2023,91921.1534371068
08/2023,91676.87070936528
09/2023,90585.75787204801
10/2023,89480.77690503173
11/2023,92181.81185687354
12/2023,95349.8448418967
01/2024,97815.21902543283
02/2024,100179.53944933624
03/2024,103501.40700825039
04/2024,101159.3353353655
05/2024,102890.17521570486
06/2024,104890.92442515204
07/2024,106815.21871759684
