Date,Backtest 55 min vol
11/1994,10000
12/1994,10217.280941640733
01/1995,10015.106479449012
02/1995,10119.652545899777
03/1995,10180.58493776909
04/1995,10277.801574546762
05/1995,10585.158366180558
06/1995,10653.289968184847
07/1995,10816.906161594698
08/1995,11051.481319643806
09/1995,11376.38045660805
10/1995,11234.64665671928
11/1995,11527.21729372421
12/1995,11858.774045695083
01/1996,12178.574871196513
02/1996,12205.408247693498
03/1996,12295.893016646954
04/1996,12530.669320347377
05/1996,12764.71737937178
06/1996,12722.009889561923
07/1996,12307.517440540416
08/1996,12430.593462716746
09/1996,12776.441357111502
10/1996,12917.405254744917
11/1996,13239.073172882941
12/1996,13413.915405780212
01/1997,13747.747156583606
02/1997,14231.487824802702
03/1997,14048.995011588584
04/1997,14291.24141595441
05/1997,14862.089229023133
06/1997,15429.683121371894
07/1997,16263.158771856113
08/1997,16129.64207552238
09/1997,16609.407600853294
10/1997,15946.18353361103
11/1997,15825.862923277873
12/1997,16352.54444740223
01/1998,16861.821366604912
02/1998,17393.650646289167
03/1998,18036.61105080961
04/1998,18106.634619994966
05/1998,17747.956071364497
06/1998,17970.584622751307
07/1998,17877.470461529752
08/1998,16508.481434929537
09/1998,16460.825341034113
10/1998,16612.919318345743
11/1998,17386.228527976702
12/1998,17810.359030404547
01/1999,18326.438911543937
02/1999,18142.641755145356
03/1999,18634.373198392637
04/1999,19350.495999229133
05/1999,19253.275351682154
06/1999,19680.295158483976
07/1999,19145.084515555784
08/1999,19068.58778363891
09/1999,19198.390184714965
10/1999,19800.12523555476
11/1999,20627.889096811818
12/1999,21620.03789274986
01/2000,21296.846397598158
02/2000,21733.78810538188
03/2000,22569.78224373313
04/2000,22828.61780741775
05/2000,22029.934937260437
06/2000,22189.55092678538
07/2000,22468.43719673698
08/2000,23646.840023381388
09/2000,23441.755660724408
10/2000,23768.131816958725
11/2000,23069.915716127136
12/2000,22721.732298785348
01/2001,22793.571740889034
02/2001,22527.040510973875
03/2001,22592.02750564021
04/2001,23074.672637232165
05/2001,24081.68911547577
06/2001,24092.06031597218
07/2001,23586.83778877098
08/2001,22892.34481696177
09/2001,22089.181242001003
10/2001,22325.148691961018
11/2001,22948.575163055066
12/2001,23581.894678528934
01/2002,23800.86368667199
02/2002,24015.28417817052
03/2002,24548.0114292999
04/2002,24268.827113923187
05/2002,23769.814302514515
06/2002,22340.28078123481
07/2002,21548.01725338172
08/2002,21735.573840472316
09/2002,21115.03965613967
10/2002,21199.558917929542
11/2002,21445.042081262967
12/2002,20748.202631754175
01/2003,20253.434597974057
02/2003,20056.565757983863
03/2003,19906.568482166123
04/2003,20510.392684995
05/2003,20705.4278416074
06/2003,21150.94949403934
07/2003,21342.160016034213
08/2003,22200.747371606754
09/2003,21589.88593067232
10/2003,22172.090648065863
11/2003,22097.525866230033
12/2003,22060.77256626197
01/2004,22496.167229206265
02/2004,22773.11898228928
03/2004,23440.800613907668
04/2004,23080.867964787234
05/2004,22935.341731442946
06/2004,23369.122827671526
07/2004,23105.57956634151
08/2004,23381.9250889346
09/2004,23411.34728485687
10/2004,23388.48526242004
11/2004,23757.839721308326
12/2004,23793.21629493254
01/2005,24168.69762653366
02/2005,24482.013909615143
03/2005,24619.21326640473
04/2005,24451.475252386255
05/2005,25633.673573164582
06/2005,26571.312190494973
07/2005,27041.2215837264
08/2005,27057.074948702582
09/2005,27805.6150257356
10/2005,27204.52660255698
11/2005,28262.301494061867
12/2005,28769.00457520452
01/2006,29311.42952025585
02/2006,29547.171426784244
03/2006,29585.99736927975
04/2006,29495.60214761812
05/2006,28461.38397449797
06/2006,28453.184372043168
07/2006,28586.0779229699
08/2006,28837.30854683935
09/2006,29131.93782168874
10/2006,29806.709557404847
11/2006,29838.49164564912
12/2006,30117.221377200887
01/2007,30806.382174632836
02/2007,30562.108331278487
03/2007,30656.26073742023
04/2007,30890.280206400665
05/2007,31421.723298290162
06/2007,30863.61471260825
07/2007,30196.038656045246
08/2007,30399.816384746908
09/2007,30760.08052095343
10/2007,31120.235624252284
11/2007,30128.361688284545
12/2007,30229.469770318872
01/2008,29557.216907016038
02/2008,29246.62650091829
03/2008,28229.222045842467
04/2008,28809.280845945163
05/2008,29132.118595850156
06/2008,27990.748938499084
07/2008,28009.475836578273
08/2008,28954.27706758306
09/2008,28245.870436975692
10/2008,27066.236350089395
11/2008,27059.091014641745
12/2008,26389.24234647602
01/2009,26496.878409567777
02/2009,25278.38559150824
03/2009,25297.253061102674
04/2009,26773.689630036362
05/2009,26947.951072364624
06/2009,26885.235598517964
07/2009,28211.96834636156
08/2009,28815.890822083413
09/2009,29292.016430097745
10/2009,28543.255469025702
11/2009,29364.608095861113
12/2009,30373.771595676233
01/2010,30361.081891766786
02/2010,31576.22148686103
03/2010,32787.68448033623
04/2010,33688.87466147359
05/2010,34152.70771979369
06/2010,33743.565264518315
07/2010,33392.90069129557
08/2010,33826.40426372512
09/2010,33924.65228537331
10/2010,34314.16540809829
11/2010,35837.468817486784
12/2010,36338.275351537035
01/2011,35560.9752781509
02/2011,36240.31341808891
03/2011,35848.13306768965
04/2011,35868.433460686225
05/2011,36646.39692028286
06/2011,36182.10705297345
07/2011,36536.50582918622
08/2011,36044.34387301964
09/2011,36172.26375475312
10/2011,36873.32443584943
11/2011,37823.716277945816
12/2011,38899.09257152439
01/2012,39467.566729692815
02/2012,39719.56700683216
03/2012,40059.6559937838
04/2012,40456.62206020105
05/2012,40874.819120700195
06/2012,41441.87758798376
07/2012,42593.57784150253
08/2012,42318.29143569395
09/2012,42463.693467927646
10/2012,41908.97835869912
11/2012,42211.4736530551
12/2012,41712.85486914388
01/2013,42095.17683427125
02/2013,43304.406221720456
03/2013,45370.42328513041
04/2013,45156.28382110264
05/2013,44550.84999494742
06/2013,43616.75371147442
07/2013,44623.01577183698
08/2013,44047.565379803375
09/2013,44598.71892016161
10/2013,45332.021847810945
11/2013,45653.74551575027
12/2013,45362.87163205995
01/2014,45653.41960025666
02/2014,46480.00934367874
03/2014,46419.0030332038
04/2014,46340.378712863894
