,0
1354,WLDH.MI
1355,SJNE.MI
1356,LPET.MI
1357,EVOE.MI
1358,TREL.MI
1359,TSLQ.MI
1360,CCBO.MI
1361,GOVH.MI
1362,3FBL.MI
1363,ACLEE.MI
1364,XD9EU.MI
1365,XNGI.MI
1366,XZEZ.MI
1367,XMOV.MI
1368,XDG6.MI
1369,HSUD.MI
1370,OUFE.MI
1371,EMDE.MI
1372,E15S.MI
1373,REWLD.MI
1374,XFNT.MI
1375,GNOM.MI
1376,XDGU.MI
1377,V3MLA.MI
1378,FTS100.MI
1379,HEDF.MI
1380,MXUD.MI
1381,WTCHIN.MI
1382,VNRA.MI
1383,XSTR.MI
1384,GENDEE.MI
1385,DJDVPEX.MI
1386,SDJ600.MI
1387,JPGL.MI
1388,TAT.MI
1389,XG11.MI
1390,CMUSRI.MI
1391,VEUR.MI
1392,PAVE.MI
1393,5ESE.MI
1394,OCEAN.MI
1395,JPHE.MI
1396,FLEQ.MI
1397,3AAP.MI
1398,BUYB.MI
1399,JETS.MI
1400,JEDII.MI
1401,EEMK.MI
1402,IQEC.MI
1403,3PLT.MI
1404,MDBE.MI
1405,EPRE.MI
1406,FDNI.MI
1407,SPDA.MI
1408,3RAC.MI
1409,SPEEU.MI
1410,LGGL.MI
1411,XIGB.MI
1412,XUEM.MI
1413,V3SE.MI
1414,V3PAA.MI
1415,V3MAA.MI
1416,3SMO.MI
1417,XDGI.MI
1418,DAXESG.MI
1419,SIMT.MI
1420,JPNK.MI
1421,JAPNE.MI
1422,ESGW.MI
1423,XMAS.MI
1424,VJPN.MI
1425,IQSA.MI
1426,EUMV.MI
1427,AWESG.MI
1428,TEMP.MI
1429,V3SDV.MI
1430,IQEE.MI
1431,WESGH.MI
1432,ENAM.MI
1433,SUOU.MI
1434,WNER.MI
1435,AQWA.MI
1436,3BID.MI
1437,COTN.MI
1438,FLXE.MI
1439,EMVEUA.MI
1440,TRUD.MI
1441,MSRUSA.MI
1442,XQUE.MI
1443,STPX.MI
1444,WDNA.MI
1445,SETM.MI
1446,JCSA.MI
1447,GLRE.MI
1448,FLUC.MI
1449,KESGA.MI
1450,FREP.MI
1451,VEGII.MI
1452,TIP10D.MI
1453,V3NA.MI
1454,5OGE.MI
1455,CG1.MI
1456,XRSM.MI
1457,TRE7.MI
1458,EIB5.MI
1459,H50A.MI
1460,JAPB.MI
1461,LGJP.MI
1462,KARS.MI
1463,WCAR.MI
1464,VUSC.MI
1465,ELOW.MI
1466,BUG.MI
1467,HPRD.MI
1468,JGHY.MI
1469,ULOVD.MI
1470,HEMV.MI
1471,XZHY.MI
1472,CAHEUA.MI
1473,STKX.MI
1474,EMLAA.MI
1475,EUEUA.MI
1476,3SAM.MI
1477,AWPA.MI
1478,LGOV.MI
1479,WDESG.MI
1480,FMET.MI
1481,EPVLD.MI
1482,CSYU.MI
1483,CANA.MI
1484,FGLR.MI
1485,SPQH.MI
1486,WHCS.MI
1487,IQEG.MI
1488,FEQD.MI
1489,SBEM.MI
1490,UT7EUA.MI
1491,USAEUA.MI
1492,BTBENE.MI
1493,CIT.MI
1494,FUSDQ.MI
1495,2CAR.MI
1496,JCHE.MI
1497,WTDGSE.MI
1498,CCLD.MI
1499,ISJP.MI
1500,LXEMU.MI
1501,SDJE5D.MI
1502,TANN.MI
1503,3MSF.MI
1504,3FTG.MI
1505,XDG3.MI
1506,WENE.MI
1507,EQUA.MI
1508,V3EA.MI
1509,HPEM.MI
1510,EMRJ.MI
1511,BBUS.MI
1512,CTEKH.MI
1513,PCOM.MI
1514,SMAFY.MI
1515,WATC.MI
1516,2TRV.MI
1517,IQSD.MI
1518,PQVM.MI
1519,WEMT2.MI
1520,IASP.MI
1521,WSRUS.MI
1522,SRIE.MI
1523,WSRIA.MI
1524,GCLE.MI
1525,GRNS.MI
1526,WTRE.MI
1527,TIP1D.MI
1528,WDESGE.MI
1529,3LNF.MI
1530,LAGR.MI
1531,LUTIW.MI
1532,3LMO.MI
1533,FOHW.MI
1534,SF5EUA.MI
1535,UHYE.MI
1536,V3NL.MI
1537,WNDE.MI
1538,GFAM.MI
1539,JRUE.MI
1540,GRON.MI
1541,WRCY.MI
1542,2OIG.MI
1543,GFOF.MI
1544,LEAD.MI
1545,ANAUE.MI
1546,V3AL.MI
1547,GHYE.MI
1548,MVEU.MI
1549,FEUR.MI
1550,XZWG.MI
1551,FRCP.MI
1552,FGEU.MI
1553,CU1.MI
1554,WSC.MI
1555,FEME.MI
1556,MLPS.MI
1557,GASRI.MI
1558,ETFCRP.MI
1559,3LMS.MI
1560,USAEUY.MI
1561,HSXD.MI
1562,3SNF.MI
1563,3LAL.MI
1564,JPNH.MI
1565,MTAV.MI
1566,AIGL.MI
1567,EUESRI.MI
1568,CMXUS.MI
1569,FDRV.MI
1570,GSCE.MI
1571,VJPE.MI
1572,WELL.MI
1573,EGEMT.MI
1574,META.MI
1575,CAUT.MI
1576,1PAS.MI
1577,PAWD.MI
1578,EESM.MI
1579,FCLD.MI
1580,GREAL.MI
1581,3SAP.MI
1582,WRNW.MI
1583,SUSC.MI
1584,XMVE.MI
1585,HBDV.MI
1586,EURESG.MI
1587,3SMS.MI
1588,THMZZ.MI
1589,FEMI.MI
1590,U15S.MI
1591,METE.MI
1592,HYGN.MI
1593,3GFM.MI
1594,FOFD.MI
1595,2STR.MI
1596,CCLN.MI
1597,GSLC.MI
1598,BIODV.MI
1599,PACEUA.MI
1600,LEMA.MI
1601,PETZ.MI
1602,WATT.MI
1603,E50EUA.MI
1604,SMSJPN.MI
1605,FTNG.MI
1606,CYBO.MI
1607,WNDY.MI
1608,FLXB.MI
1609,EUFM.MI
1610,EMOM.MI
1611,CNEW.MI
1612,HSPA.MI
1613,FRNW.MI
1614,EGEHE.MI
1615,5HGE.MI
1616,JCHA.MI
1617,USSRF.MI
1618,DFE.MI
1619,3PYP.MI
1620,V3RFV.MI
1621,MTVS.MI
1622,EGRO.MI
1623,FLQA.MI
1624,AUHEUA.MI
1625,ZERO.MI
1626,LGAP.MI
1627,3LAP.MI
1628,3SFB.MI
1629,IFSU.MI
1630,3SZN.MI
1631,3LAM.MI
1632,3SUB.MI
1633,ETFEZ.MI
1634,ELECT.MI
1635,F4DE.MI
1636,WOPA.MI
1637,PMNT.MI
1638,FMQQ.MI
1639,KA50A.MI
1640,WBLK.MI
1641,FINX.MI
1642,HCAA.MI
1643,CLEUR.MI
1644,GBHYC.MI
1645,JPCE.MI
1646,HEMA.MI
1647,CBIO.MI
1648,GRFANG.MI
1649,CAVE.MI
1650,HPAE.MI
1651,IESZ.MI
1652,HYDE.MI
1653,ABIEE.MI
1654,ABIU.MI
1655,TSWE.MI
1656,WMTS.MI
1657,HMXJ.MI
1658,UKE.MI
1659,DFEA.MI
1660,DHSA.MI
1661,LAZRR.MI
1662,3SFG.MI
1663,3FNG.MI
1664,3GOO.MI
1665,TCBT.MI
1666,XSOE.MI
1667,EUREUA.MI
1668,SGFM.MI
1669,CURGE.MI
1670,LGEU.MI
1671,HEDJ.MI
1672,3SFT.MI
1673,3LUB.MI
1674,JREA.MI
1675,KOIN.MI
1676,FCRU.MI
1677,3SGF.MI
1678,XGBU.MI
1679,3MRN.MI
1680,V3EL.MI
1681,GGE.MI
1682,CHE3.MI
1683,EMD5.MI
1684,GBE3.MI
1685,PEXE.MI
1686,TIGA.MI
1687,IPIR.MI
1688,3SIT.MI
1689,ECH3.MI
1690,GOVG.MI
1691,EMBH.MI
1692,EGB3.MI
1693,GEBE.MI
1694,3MIB.MI
1695,LINXC.MI
1696,LINXB.MI
1697,SIL1L.MI
1698,FAMMWFA.MI
1699,FAMUSSA.MI
1700,FAMLSSA.MI
1701,FAMMAIA.MI
1702,FAMSF3A.MI
1703,FAMAMWA.MI
1704,FAMTELA.MI
1705,FAMSFFA.MI
1706,FAMWCSA.MI
1707,FAMEUSA.MI
1708,FAMMWSA.MI
1709,C33.MI
1710,CB3.MI
1711,FMI.MI
1712,CWE.MI
1713,PUIG.MI
1714,LEMU.MI
1715,SPEL.MI
1716,ASRD.MI
1717,LCWD.MI
1718,WDFE.MI
1719,CLMA.MI
1720,FBTA.MI
1721,TREI.MI
1722,XPPE.MI
1723,ESGO.MI
1724,RENW.MI
1725,LABL.MI
1726,FOOD.MI
1727,VMIG.MI
1728,GBHE.MI
1729,XSLR.MI
1730,FLOT.MI
1731,MUNI.MI
1732,LERN.MI
1733,ECCO.MI
1734,XSLE.MI
1735,SDG9.MI
1736,EFPX.MI
1737,FFGE.MI
1738,NXTG.MI
1739,CIBR.MI
1740,BLOK.MI
1741,IEWQ.MI
1742,JSEU.MI
1743,JE13.MI
1744,LWCE.MI
1745,GOAT.MI
1746,RAYZ.MI
1747,LDAP.MI
1748,C500.MI
1749,ERTH.MI
1750,HTWO.MI
1751,MSSM.MI
1752,LDEU.MI
1753,XGDU.MI
1754,REUS.MI
1755,ECEG.MI
1756,YODA.MI
1757,EBUY.MI
1758,3SRA.MI
1759,HGVU.MI
1760,JSEG.MI
1761,RIUS.MI
1762,MMLP.MI
1763,XG12.MI
1764,XGDE.MI
1765,EQQJ.MI
1766,BBTR.MI
1767,FPXR.MI
1768,UNIC.MI
1769,WDHE.MI
1770,B500.MI
1771,GLUX.MI
1772,JEGN.MI
1773,XJSE.MI
1774,IQCT.MI
1775,SPDE.MI
1776,FFGC.MI
1777,CROP.MI
1778,EGTD.MI
1779,DGRE.MI
1780,METR.MI
1781,BTCN.MI
1782,MCPA.MI
1783,RNRG.MI
1784,JSHE.MI
1785,VOLT.MI
1786,EMGH.MI
1787,JGSE.MI
1788,S6EW.MI
1789,ELCR.MI
1790,PABEZ.MI
1791,BTP10.MI
1792,CLIMA.MI
1793,HYSRI.MI
1794,EXCPA.MI
1795,BSRIC.MI
1796,JPESG.MI
1797,BSRID.MI
1798,CLUSA.MI
1799,COOLT.MI
1800,JPEUB.MI
1801,BTP13.MI
1802,SPELE.MI
1803,EMPAB.MI
1804,OIL1L.MI
1805,MILLE.MI
1806,KUREA.MI
1807,GREIT.MI
1808,GEU3D.MI
1809,ELCEZ.MI
1810,FLOTH.MI
1811,CMOCT.MI
1812,USSMC.MI
1813,PLANT.MI
1814,HSRID.MI
1815,EURPA.MI
1816,EMUPA.MI
1817,HERUI1.MI
1818,EDOCI1.MI
1819,USESGA.MI
1820,SGIOIL2L.MI
