DATE,XEON
2022-03-01,134.95
2022-04-01,134.88
2022-05-01,134.81
2022-06-01,134.75
2022-07-01,134.68
2022-08-01,134.67
2022-09-01,134.7
2022-10-01,134.78
2022-11-01,134.93
2022-12-01,135.11
2023-01-01,135.33
2023-02-01,135.57
2023-03-01,135.87
2023-04-01,136.17
2023-05-01,136.55
2023-06-01,136.92
2023-07-01,137.32
2023-08-01,137.75
2023-09-01,138.16
2023-10-01,138.64
2023-11-01,139.09
2023-12-01,139.53
2024-01-01,140.03
2024-02-01,140.47
2024-03-01,140.94
2024-04-01,141.34
