DATE,IBGM,
2017-05-01,259.97,
2017-06-01,258.43,
2017-07-01,259.16,
2017-08-01,261.69,
2017-09-01,260.42,
2017-10-01,264.02,
2017-11-01,264.57,
2017-12-01,262.31,
2018-01-01,260.03,
2018-02-01,260.61,
2018-03-01,265.82,
2018-04-01,264.64,
2018-05-01,261.24,
2018-06-01,263.60,
2018-07-01,262.53,
2018-08-01,261.46,
2018-09-01,260.53,
2018-10-01,260.64,
2018-11-01,262.64,
2018-12-01,264.97,
2019-01-01,268.56,
2019-02-01,267.88,
2019-03-01,273.21,
2019-04-01,273.16,
2019-05-01,276.23,
2019-06-01,281.70,
2019-07-01,286.35,
2019-08-01,292.10,
2019-09-01,290.87,
2019-10-01,287.74,
2019-11-01,284.65,
2019-12-01,282.44,
2020-01-01,288.90,
2020-02-01,289.65,
2020-03-01,283.04,
2020-04-01,283.26,
2020-05-01,284.18,
2020-06-01,287.06,
2020-07-01,289.59,
2020-08-01,287.23,
2020-09-01,290.84,
2020-10-01,293.47,
2020-11-01,293.64,
2020-12-01,293.89,
2021-01-01,292.71,
2021-02-01,287.55,
2021-03-01,289.02,
2021-04-01,286.06,
2021-05-01,286.01,
2021-06-01,287.33,
2021-07-01,292.52,
2021-08-01,290.75,
2021-09-01,286.93,
2021-10-01,282.66,
2021-11-01,288.66,
2021-12-01,284.82,
2022-01-01,280.69,
2022-02-01,274.86,
2022-03-01,267.12,
2022-04-01,256.81,
2022-05-01,252.60,
2022-06-01,247.91,
2022-07-01,259.40,
2022-08-01,244.17,
2022-09-01,232.99,
2022-10-01,234.46,
2022-11-01,239.40,
2022-12-01,227.22,
2023-01-01,234.33,
2023-02-01,228.60,
2023-03-01,235.28,
2023-04-01,235.15,
2023-05-01,236.34,
2023-06-01,234.97,
2023-07-01,234.85,
2023-08-01,235.83,
2023-09-01,228.60,
2023-10-01,230.06,
2023-11-01,236.96,
2023-12-01,246.38,
2024-01-01,245.30,
2024-02-01,241.57,
2024-03-01,244.42,
2024-04-01,239.21,
