DATE,PPIACOE
2017-01-01,176.6722253
2017-02-01,180.4482953
2017-03-01,179.0054216
2017-04-01,177.1454796
2017-05-01,171.5913136
2017-06-01,169.6608536
2017-07-01,163.6225266
2017-08-01,162.9392971
2017-09-01,164.9030729
2017-10-01,167.3248626
2017-11-01,164.6495209
2017-12-01,163.2839794
2018-01-01,159.2372063
2018-02-01,163.213496
2018-03-01,161.7694805
2018-04-01,165.8936558
2018-05-01,174.1216795
2018-06-01,174.8736833
2018-07-01,174.5258842
2018-08-01,175.4053122
2018-09-01,175.184994
2018-10-01,180.550653
2018-11-01,178.6628985
2018-12-01,175.4539106
2019-01-01,173.8257377
2019-02-01,175.0593198
2019-03-01,178.8386177
2019-04-01,180.4303187
2019-05-01,180.9130864
2019-06-01,176.1033937
2019-07-01,180.3234501
2019-08-01,181.2721813
2019-09-01,181.9348923
2019-10-01,178.0367548
2019-11-01,180.5971504
2019-12-01,177.2512693
2020-01-01,179.8411839
2020-02-01,178.8019271
2020-03-01,175.2904866
2020-04-01,169.6542894
2020-05-01,169.802827
2020-06-01,170.1521758
2020-07-01,163.2549484
2020-08-01,162.5941423
2020-09-01,166.7661861
2020-10-01,168.7129733
2020-11-01,165.9691999
2020-12-01,163.9411284
2021-01-01,168.7680264
2021-02-01,174.1503349
2021-03-01,183.087797
2021-04-01,181.1305071
2021-05-01,184.434968
2021-06-01,193.1971641
2021-07-01,195.4231288
2021-08-01,197.809322
2021-09-01,203.5743284
2021-10-01,208.1587604
2021-11-01,215.5462036
2021-12-01,213.2337869
2022-01-01,219.8118088
2022-02-01,225.1069138
2022-03-01,234.3946633
2022-04-01,251.7889342
2022-05-01,254.6370329
2022-06-01,267.696055
2022-07-01,266.8829641
2022-08-01,267.8052658
2022-09-01,273.8403353
2022-10-01,268.1446636
2022-11-01,254.9229875
2022-12-01,241.0702935
2023-01-01,239.6638423
2023-02-01,243.9813243
2023-03-01,236.4440765
2023-04-01,232.7065217
2023-05-01,238.0983668
2023-06-01,232.4725275
2023-07-01,230.3402904
2023-08-01,237.7341083
2023-09-01,244.6466364
2023-10-01,241.4761544
2023-11-01,231.8078475
2023-12-01,225.8624119
2024-01-01,231.4601566
2024-02-01,235.9128343
2024-03-01,236.4377722
