DATE,IQ12260E
2017-01-01,377.8024829
2017-02-01,398.0033905
2017-03-01,406.1506824
2017-04-01,402.2028453
2017-05-01,387.50445
2017-06-01,392.2530891
2017-07-01,361.4070692
2017-08-01,372.2885488
2017-09-01,396.5969694
2017-10-01,381.6964286
2017-11-01,374.34863
2017-12-01,367.2433871
2018-01-01,370.3733505
2018-02-01,379.1663254
2018-03-01,376.0551948
2018-04-01,386.0361107
2018-05-01,392.4592973
2018-06-01,388.3703006
2018-07-01,374.2525201
2018-08-01,367.6267679
2018-09-01,360.6952332
2018-10-01,370.631839
2018-11-01,378.3449616
2018-12-01,378.7534916
2019-01-01,392.0027938
2019-02-01,404.2534493
2019-03-01,402.3868899
2019-04-01,403.4461209
2019-05-01,402.0988429
2019-06-01,409.5305082
2019-07-01,439.7124888
2019-08-01,472.8364728
2019-09-01,491.7010546
2019-10-01,469.1169879
2019-11-01,472.9104274
2019-12-01,459.6063062
2020-01-01,484.0281538
2020-02-01,499.3182438
2020-03-01,522.1496006
2020-04-01,515.9136638
2020-05-01,537.048708
2020-06-01,533.9503426
2020-07-01,525.9685332
2020-08-01,590.9623431
2020-09-01,583.4683955
2020-10-01,572.765519
2020-11-01,561.7676599
2020-12-01,520.3597711
2021-01-01,554.7589617
2021-02-01,528.9010171
2021-03-01,512.5606744
2021-04-01,508.0631754
2021-05-01,519.6818107
2021-06-01,560.0945307
2021-07-01,534.6426163
2021-08-01,536.8644068
2021-09-01,549.105986
2021-10-01,534.8857341
2021-11-01,556.2151147
2021-12-01,553.1896095
2022-01-01,565.108812
2022-02-01,563.7027798
2022-03-01,609.483458
2022-04-01,643.9214198
2022-05-01,613.1767776
2022-06-01,620.8806954
2022-07-01,603.8031758
2022-08-01,616.9895678
2022-09-01,612.593274
2022-10-01,602.4279211
2022-11-01,559.8178824
2022-12-01,584.4083006
2023-01-01,595.9661079
2023-02-01,633.1824184
2023-03-01,590.8756439
2023-04-01,636.3224638
2023-05-01,660.9724047
2023-06-01,629.8534799
2023-07-01,610.3448276
2023-08-01,629.9474121
2023-09-01,637.0937264
2023-10-01,605.1286904
2023-11-01,638.8888889
2023-12-01,641.3849214
2024-01-01,661.4463381
2024-02-01,657.0741186
2024-03-01,694.0042628
