DATE,DGS1PTRE
1999-01-01,117.1840647
1999-02-01,121.2187358
1999-03-01,124.0007402
1999-04-01,127.2907989
1999-05-01,129.3033967
1999-06-01,131.1251212
1999-07-01,126.8748831
1999-08-01,128.5700784
1999-09-01,128.4788124
1999-10-01,130.3099449
1999-11-01,136.2806391
1999-12-01,136.653426
2000-01-01,141.3139285
2000-02-01,143.8660168
2000-03-01,145.5400042
2000-04-01,154.1643745
2000-05-01,150.8040309
2000-06-01,148.5489785
2000-07-01,153.8096266
2000-08-01,161.106105
2000-09-01,162.9172796
2000-10-01,170.4336554
2000-11-01,167.5063262
2000-12-01,156.763954
2001-01-01,159.8947142
2001-02-01,162.3751628
2001-03-01,171.3554696
2001-04-01,170.6333108
2001-05-01,180.2010645
2001-06-01,180.1864527
2001-07-01,175.3199269
2001-08-01,169.4939494
2001-09-01,171.3265194
2001-10-01,174.4134327
2001-11-01,175.4186202
2001-12-01,176.6543085
2002-01-01,183.0812195
2002-02-01,182.1436821
2002-03-01,180.4519904
2002-04-01,175.7387247
2002-05-01,169.7398008
2002-06-01,161.5868506
2002-07-01,163.2707227
2002-08-01,163.4509484
2002-09-01,162.810001
2002-10-01,163.1009007
2002-11-01,162.2935965
2002-12-01,154.2966142
2003-01-01,150.8334109
2003-02-01,150.542722
2003-03-01,149.0917431
2003-04-01,145.4651163
2003-05-01,138.4837668
2003-06-01,141.8535907
2003-07-01,145.1340041
2003-08-01,148.4252685
2003-09-01,140.3948498
2003-10-01,140.8045482
2003-11-01,136.3151313
2003-12-01,130.1182821
2004-01-01,131.7459043
2004-02-01,132.0954907
2004-03-01,133.84315
2004-04-01,137.0521921
2004-05-01,134.1409511
2004-06-01,134.4199031
2004-07-01,136.2450133
2004-08-01,134.9831733
2004-09-01,132.3749698
2004-10-01,129.1071709
2004-11-01,123.9233728
2004-12-01,121.495051
2005-01-01,126.0786267
2005-02-01,123.9566069
2005-03-01,127.025985
2005-04-01,127.896896
2005-05-01,134.1809053
2005-06-01,137.1714333
2005-07-01,136.754885
2005-08-01,134.9878345
2005-09-01,138.1489468
2005-10-01,138.9328887
2005-11-01,141.8150975
2005-12-01,141.6483702
2006-01-01,138.2052969
2006-02-01,141.2410901
2006-03-01,139.1795041
2006-04-01,134.2601394
2006-05-01,132.4008416
2006-06-01,133.3437671
2006-07-01,134.2055782
2006-08-01,134.5970453
2006-09-01,136.4152282
2006-10-01,135.9430048
2006-11-01,131.5436242
2006-12-01,132.6513602
2007-01-01,135.1207878
2007-02-01,133.4769463
2007-03-01,132.6603858
2007-04-01,130.4245974
2007-05-01,132.8922917
2007-06-01,132.8254438
2007-07-01,131.5877762
2007-08-01,133.6338978
2007-09-01,128.8135593
2007-10-01,127.0389826
2007-11-01,126.4978214
2007-12-01,127.4806547
2008-01-01,127.2960043
2008-02-01,125.0279845
2008-03-01,120.5757672
2008-04-01,122.2122302
2008-05-01,122.0244216
2008-06-01,120.6248412
2008-07-01,122.2015524
2008-08-01,130.2338264
2008-09-01,136.4391734
2008-10-01,152.3655575
2008-11-01,153.0565622
2008-12-01,140.4267548
2009-01-01,152.4914089
2009-02-01,153.9409256
2009-03-01,147.296584
2009-04-01,147.6744186
2009-05-01,138.5388645
2009-06-01,139.5149786
2009-07-01,137.1594649
2009-08-01,136.5612373
2009-09-01,134.0738209
2009-10-01,133.0193155
2009-11-01,131.072429
2009-12-01,136.8825007
2010-01-01,141.7375631
2010-02-01,143.9238653
2010-03-01,145.2609789
2010-04-01,147.7597354
2010-05-01,159.0670224
2010-06-01,160.1578391
2010-07-01,150.7077818
2010-08-01,155.1322418
2010-09-01,144.9011102
2010-10-01,141.9533612
2010-11-01,151.2503836
2010-12-01,148.5944683
2011-01-01,143.8425082
2011-02-01,143.072573
2011-03-01,139.096101
2011-04-01,133.2501181
2011-05-01,137.4513077
2011-06-01,136.0669283
2011-07-01,137.3575202
2011-08-01,137.3455505
2011-09-01,147.0815674
2011-10-01,141.8584642
2011-11-01,147.0824351
2011-12-01,152.5398905
2012-01-01,151.604995
2012-02-01,148.0799461
2012-03-01,148.3650817
2012-04-01,149.5502306
2012-05-01,160.0695568
2012-06-01,156.20461
2012-07-01,160.7876573
2012-08-01,157.449515
2012-09-01,154.0525825
2012-10-01,152.8476617
2012-11-01,152.2598002
2012-12-01,150.2730168
2013-01-01,145.9069494
2013-02-01,151.5329918
2013-03-01,154.7050562
2013-04-01,150.6379101
2013-05-01,152.6870958
2013-06-01,152.4365872
2013-07-01,149.3901521
2013-08-01,150.3485905
2013-09-01,146.6420392
2013-10-01,146.0203031
2013-11-01,145.8621197
2013-12-01,144.0452863
2014-01-01,147.0814815
2014-02-01,143.7997972
2014-03-01,144.1024897
2014-04-01,143.186734
2014-05-01,145.6231672
2014-06-01,145.0913075
2014-07-01,148.3420463
2014-08-01,151.1102662
2014-09-01,157.3012354
2014-10-01,158.5794094
2014-11-01,159.736292
2014-12-01,164.0112387
2015-01-01,175.9521701
2015-02-01,177.3689381
2015-03-01,184.8524346
2015-04-01,177.9609389
2015-05-01,180.6803711
2015-06-01,178.0885781
2015-07-01,180.0779833
2015-08-01,177.3450063
2015-09-01,178.0236517
2015-10-01,179.9855099
2015-11-01,187.9000189
2015-12-01,182.5858735
2016-01-01,183.4656573
2016-02-01,182.6555024
2016-03-01,174.4337138
2016-04-01,173.7872564
2016-05-01,178.4373597
2016-06-01,180.6200145
2016-07-01,178.3936246
2016-08-01,178.6291046
2016-09-01,177.291333
2016-10-01,181.7186645
2016-11-01,188.1546606
2016-12-01,188.6561789
2017-01-01,184.5747638
2017-02-01,187.6907139
2017-03-01,186.1469434
2017-04-01,182.8636989
2017-05-01,177.2961908
2017-06-01,174.6297432
2017-07-01,168.6876374
2017-08-01,167.8997814
2017-09-01,169.0849065
2017-10-01,171.4629121
2017-11-01,167.7508825
2017-12-01,166.0123108
2018-01-01,160.6050853
2018-02-01,163.4427975
2018-03-01,162.2483766
2018-04-01,165.5954945
2018-05-01,171.6623822
2018-06-01,171.7136251
2018-07-01,171.4334529
2018-08-01,173.3787513
2018-09-01,173.1285493
2018-10-01,177.7709142
2018-11-01,178.2919721
2018-12-01,176.737081
2019-01-01,177.2917758
2019-02-01,178.855787
2019-03-01,181.8934806
2019-04-01,182.7069012
2019-05-01,184.2497085
2019-06-01,181.4489186
2019-07-01,185.5795148
2019-08-01,188.7159887
2019-09-01,190.4722604
2019-10-01,186.8758404
2019-11-01,189.2912242
2019-12-01,186.051483
2020-01-01,188.9911568
2020-02-01,191.5189528
2020-03-01,192.9375454
2020-04-01,194.4302177
2020-05-01,191.410822
2020-06-01,189.2409006
2020-07-01,179.9864659
2020-08-01,178.0585774
2020-09-01,181.5235008
2020-10-01,182.7079935
2020-11-01,178.1637094
2020-12-01,174.0883074
2021-01-01,175.4676555
2021-02-01,176.1266849
2021-03-01,181.4016861
2021-04-01,177.123857
2021-05-01,174.749877
2021-06-01,179.8193788
2021-07-01,179.5937289
2021-08-01,180.5762712
2021-09-01,184.0286776
2021-10-01,184.3317175
2021-11-01,188.508904
2021-12-01,187.7540201
2022-01-01,188.8512308
2022-02-01,188.3464006
2022-03-01,189.5699991
2022-04-01,198.9180981
2022-05-01,195.704035
2022-06-01,199.5415035
2022-07-01,204.8911978
2022-08-01,207.1435668
2022-09-01,212.6137177
2022-10-01,209.9038948
2022-11-01,201.6177468
2022-12-01,195.3355767
2023-01-01,193.304476
2023-02-01,198.0946991
2023-03-01,194.6835909
2023-04-01,192.1648551
2023-05-01,199.2021776
2023-06-01,194.7802198
2023-07-01,193.938294
2023-08-01,198.053326
2023-09-01,203.5525321
2023-10-01,204.8258895
2023-11-01,199.8624862
2023-12-01,198.6168866
2024-01-01,203.3256564
2024-02-01,204.487832
2024-03-01,205.606524
