DATE,DGS5PTRE
1999-01-01,126.5851728
1999-02-01,127.6944065
1999-03-01,130.9678016
1999-04-01,133.8697463
1999-05-01,134.2064863
1999-06-01,135.8874879
1999-07-01,130.792968
1999-08-01,132.492203
1999-09-01,132.923048
1999-10-01,134.0654117
1999-11-01,139.803513
1999-12-01,139.1559086
2000-01-01,142.2978375
2000-02-01,145.3800684
2000-03-01,148.9972843
2000-04-01,156.2108043
2000-05-01,153.151801
2000-06-01,152.7396543
2000-07-01,158.2775739
2000-08-01,167.2899302
2000-09-01,169.8200747
2000-10-01,177.8458638
2000-11-01,177.478721
2000-12-01,168.1508308
2001-01-01,171.3257413
2001-02-01,174.9348676
2001-03-01,184.6145099
2001-04-01,180.8767185
2001-05-01,190.8693081
2001-06-01,190.9723861
2001-07-01,188.9053931
2001-08-01,183.4543454
2001-09-01,188.2734366
2001-10-01,193.428222
2001-11-01,191.1587408
2001-12-01,190.4842153
2002-01-01,197.6611589
2002-02-01,198.2212982
2002-03-01,192.1073764
2002-04-01,189.8911353
2002-05-01,185.0091016
2002-06-01,178.125
2002-07-01,184.3507554
2002-08-01,187.2934938
2002-09-01,191.4768701
2002-10-01,190.2742637
2002-11-01,185.7027789
2002-12-01,180.438722
2003-01-01,174.6438216
2003-02-01,177.0850728
2003-03-01,174.7798165
2003-04-01,170.2504472
2003-05-01,166.3097059
2003-06-01,169.1879673
2003-07-01,166.4054848
2003-08-01,169.9799745
2003-09-01,165.2446352
2003-10-01,163.0545267
2003-11-01,157.4572739
2003-12-01,151.2344209
2004-01-01,153.9672342
2004-02-01,155.6386143
2004-03-01,159.4370322
2004-04-01,157.9373695
2004-05-01,154.0312679
2004-06-01,154.9963051
2004-07-01,158.0950798
2004-08-01,159.3039481
2004-09-01,156.3743255
2004-10-01,153.3186882
2004-11-01,145.018478
2004-12-01,143.0418082
2005-01-01,148.3178788
2005-02-01,144.3724574
2005-03-01,147.081502
2005-04-01,150.0038703
2005-05-01,158.4257835
2005-06-01,162.5061994
2005-07-01,159.7163822
2005-08-01,159.3998378
2005-09-01,161.2871123
2005-10-01,160.7669862
2005-11-01,164.3850721
2005-12-01,164.7694646
2006-01-01,160.223721
2006-02-01,162.9601677
2006-03-01,159.2305791
2006-04-01,153.0655894
2006-05-01,150.4013091
2006-06-01,151.2794428
2006-07-01,153.3453463
2006-08-01,155.0222778
2006-09-01,157.6810909
2006-10-01,157.355359
2006-11-01,152.9371842
2006-12-01,152.5725544
2007-01-01,154.7007232
2007-02-01,154.595616
2007-03-01,153.3722147
2007-04-01,150.9224012
2007-05-01,151.4903739
2007-06-01,150.954142
2007-07-01,151.5425571
2007-08-01,155.2525475
2007-09-01,149.6026443
2007-10-01,147.9955764
2007-11-01,151.2322985
2007-12-01,152.2700815
2008-01-01,154.5987467
2008-02-01,153.6774873
2008-03-01,148.2442265
2008-04-01,146.8910586
2008-05-01,144.8071979
2008-06-01,143.9420879
2008-07-01,146.404516
2008-08-01,157.0727384
2008-09-01,164.9527732
2008-10-01,185.1206434
2008-11-01,192.9651804
2008-12-01,179.4525469
2009-01-01,192.5648235
2009-02-01,193.7371663
2009-03-01,188.1079858
2009-04-01,185.5104198
2009-05-01,171.6197083
2009-06-01,171.6547789
2009-07-01,168.9754184
2009-08-01,169.5415912
2009-09-01,167.2932331
2009-10-01,166.1945103
2009-11-01,166.1731359
2009-12-01,168.6784817
2010-01-01,177.5342466
2010-02-01,180.9516837
2010-03-01,180.9699837
2010-04-01,185.43828
2010-05-01,202.9185868
2010-06-01,207.5665121
2010-07-01,197.2683449
2010-08-01,205.8328086
2010-09-01,193.0299243
2010-10-01,190.0676551
2010-11-01,199.8695919
