DATE,IBTS
2022-03-01,140.237
2022-04-01,146.985
2022-05-01,145.482
2022-06-01,149.078
2022-07-01,152.483
2022-08-01,154.251
2022-09-01,156.262
2022-10-01,153.458
2022-11-01,147.585
2022-12-01,143.802
2023-01-01,142.654
2023-02-01,144.395
2023-03-01,143.017
2023-04-01,142.017
2023-05-01,145.422
2023-06-01,142.261
2023-07-01,140.71
2023-08-01,143.286
2023-09-01,146.475
2023-10-01,146.598
2023-11-01,143.911
2023-12-01,143.985
2024-01-01,147.366
2024-02-01,146.883
2024-03-01,147.173
2024-04-01,148.345
