DATE,DGS20PTRE
2016-12-01,423.6068992
2017-01-01,415.7031684
2017-02-01,428.7342249
2017-03-01,422.6023556
2017-04-01,421.633777
2017-05-01,414.1598434
2017-06-01,408.0623959
2017-07-01,391.5694233
2017-08-01,401.7487809
2017-09-01,395.3779734
2017-10-01,400
2017-11-01,393.0660615
2017-12-01,394.0775245
2018-01-01,367.6214998
2018-02-01,364.4828433
2018-03-01,371.4204545
2018-04-01,370.8795759
2018-05-01,390.428449
2018-06-01,391.136422
2018-07-01,384.1619682
2018-08-01,393.4201449
2018-09-01,383.1182241
2018-10-01,384.2746205
2018-11-01,391.8219553
2018-12-01,406.948324
2019-01-01,410.4417671
2019-02-01,407.3205027
2019-03-01,433.5055219
2019-04-01,427.5600393
2019-05-01,454.8838461
2019-06-01,452.426587
2019-07-01,463.2345013
2019-08-01,511.5843116
2019-09-01,502.7326914
2019-10-01,487.4406096
2019-11-01,488.6650331
2019-12-01,466.6607286
2020-01-01,506.6414005
2020-02-01,543.6778475
2020-03-01,573.4931009
2020-04-01,588.7141028
2020-05-01,566.7056811
2020-06-01,560.7012548
2020-07-01,552.740653
2020-08-01,520.3682008
2020-09-01,533.8053399
2020-10-01,519.266764
2020-11-01,512.0689655
2020-12-01,493.9247751
2021-01-01,479.0935311
2021-02-01,450.2439428
2021-03-01,447.5432172
2021-04-01,446.1180382
2021-05-01,441.6270297
2021-06-01,468.7204591
2021-07-01,483.6648685
2021-08-01,483.7966102
2021-09-01,480.2021249
2021-10-01,485.1973684
2021-11-01,508.1066714
2021-12-01,500
2022-01-01,486.8801284
2022-02-01,481.0228083
2022-03-01,462.0481385
2022-04-01,448.2015754
2022-05-01,432.3175846
2022-06-01,437.9787945
2022-07-01,462.5073515
2022-08-01,448.1271734
2022-09-01,428.1917612
2022-10-01,405.270612
2022-11-01,412.6901095
2022-12-01,392.0639372
2023-01-01,406.8705102
2023-02-01,400.0471609
2023-03-01,407.0640177
2023-04-01,402.6902174
2023-05-01,406.7017083
2023-06-01,395.4304029
2023-07-01,384.8094374
2023-08-01,383.873051
2023-09-01,368.4145881
2023-10-01,357.3807721
2023-11-01,369.3711038
2023-12-01,390.9329235
2024-01-01,392.4182404
2024-02-01,386.8696215
2024-03-01,391.9284589
