Date,WORLD SECTOR NEUTRAL QUALITY
2022-03-01,2179.548
2022-04-01,2009.428
2022-05-01,1990.357
2022-06-01,1820.503
2022-07-01,1962.947
2022-08-01,1867.598
2022-09-01,1697.075
2022-10-01,1813.185
2022-11-01,1966.746
2022-12-01,1891.346
2023-01-01,2006.288
2023-02-01,1955.254
2023-03-01,2031.986
2023-04-01,2072.107
2023-05-01,2056.490
2023-06-01,2177.165
2023-07-01,2249.116
2023-08-01,2220.423
2023-09-01,2114.682
2023-10-01,2082.607
2023-11-01,2267.833
2023-12-01,2379.809
2024-01-01,2418.824
