Date,MULTIFACTOR
2022-04-01,1759.407
2022-05-01,1772.555
2022-06-01,1595.123
2022-07-01,1721.82
2022-08-01,1656.817
2022-09-01,1506.992
2022-10-01,1650.269
2022-11-01,1755.126
2022-12-01,1676.983
2023-01-01,1786.995
2023-02-01,1739.266
2023-03-01,1759.017
2023-04-01,1776.651
2023-05-01,1716.306
2023-06-01,1822.091
2023-07-01,1884.625
2023-08-01,1840.21
2023-09-01,1781.44
2023-10-01,1725.319
2023-11-01,1855.267
2023-12-01,1933.057
2024-01-01,1965.518
